gene_id	WTS_1	WTS_2	WTS_3	WT_1	WT_2	WT_3
gene-OW489_RS00675	117	185	209	285	327	339
gene-OW489_RS00680	817	1221	1411	1288	2133	1265
gene-OW489_RS00685	546	447	523	320	498	311
gene-OW489_RS00695	750	974	819	119	199	104
gene-OW489_RS00700	124	235	212	34	40	36
gene-OW489_RS00705	339	488	389	98	85	74
gene-OW489_RS00710	955	1355	1261	808	895	749
gene-OW489_RS00715	2313	3331	3434	4019	5095	3684
gene-OW489_RS00720	2604	2592	2589	2818	3669	3062
gene-OW489_RS00725	711	546	502	911	1212	825
gene-OW489_RS00730	169	210	188	195	309	185
gene-OW489_RS00735	141	304	354	448	708	399
gene-OW489_RS00740	3	12	6	4	2	0
gene-OW489_RS00745	27	48	48	22	11	21
gene-OW489_RS00750	1	10	12	1	4	3
gene-OW489_RS00755	685	1731	1644	421	565	426
gene-OW489_RS00760	718	1693	1834	575	816	571
gene-OW489_RS00770	1398	1432	1757	2517	4060	2586
gene-OW489_RS00775	9951	8893	9727	12805	18235	11943
gene-OW489_RS00780	841	6723	7580	12208	14906	12481
gene-OW489_RS08175	13	7	1	38	24	26
gene-OW489_RS00815	12	11	5	41	34	35
gene-OW489_RS00830	1514	856	737	872	1324	869
gene-OW489_RS00835	9886	4727	4906	5425	6091	5220
gene-OW489_RS00840	496	805	864	508	556	413
gene-OW489_RS00845	6417	5255	6086	5582	8212	5259
gene-OW489_RS00850	23208	16069	18040	15459	24416	14737
gene-OW489_RS00855	60055	42814	47391	67388	117511	55577
gene-OW489_RS00860	18374	16286	15926	23832	27766	21425
gene-OW489_RS00870	97	182	206	97	90	98
gene-OW489_RS00875	1377	1379	1391	1186	1458	1086
gene-OW489_RS00880	857	5012	4695	4807	4245	3787
gene-OW489_RS00885	5663	5808	5469	383	568	431
gene-OW489_RS00890	351	478	595	682	741	596
gene-OW489_RS00900	3441	5338	5545	5464	7077	4981
gene-OW489_RS00910	9217	5865	6187	1310	1281	1485
gene-OW489_RS00915	7300	9357	10785	1957	2794	2029
gene-OW489_RS00920	261	301	352	411	532	325
gene-OW489_RS00925	6658	7226	7778	8755	12249	7979
gene-OW489_RS00930	1776	2420	2423	2983	3896	2660
gene-OW489_RS00935	9980	9627	10522	20723	26306	19623
gene-OW489_RS00940	423	539	549	203	291	258
gene-OW489_RS00945	12091	6908	7346	11390	14899	13954
gene-OW489_RS00950	2877	12019	11998	10812	9176	8374
gene-OW489_RS00960	252	243	303	105	113	65
gene-OW489_RS00965	266	234	221	58	76	51
gene-OW489_RS00970	213	320	338	153	176	121
gene-OW489_RS00975	168	283	282	233	324	233
gene-OW489_RS00980	1700	1411	1491	1406	1491	1283
gene-OW489_RS00985	6093	8141	7965	5820	7269	5618
gene-OW489_RS00990	1150	1410	1375	1631	2187	1524
gene-OW489_RS00995	5648	5658	6178	8534	12286	8432
gene-OW489_RS01000	2742	1882	2009	2481	3943	2427
gene-OW489_RS01005	55	81	89	41	52	25
gene-OW489_RS01010	309	547	557	63	98	54
gene-OW489_RS01030	78	141	141	99	123	81
gene-OW489_RS01035	1057	967	968	1872	1857	1941
gene-OW489_RS01040	299	271	359	504	699	489
gene-OW489_RS01045	163	90	141	130	215	155
gene-OW489_RS01050	12	10	11	17	32	16
gene-OW489_RS01055	241	261	481	3811	14230	3218
gene-OW489_RS01060	221	123	191	1700	3353	1681
gene-OW489_RS01065	1529	713	852	8882	19691	8689
gene-OW489_RS01070	1267	1456	1342	982	1147	908
gene-OW489_RS01075	227	611	579	906	1022	792
gene-OW489_RS01080	6182	6797	8827	1540	3124	1368
gene-OW489_RS01085	5533	6173	8937	2925	4677	2757
gene-OW489_RS01090	825	1168	1162	1869	2201	1670
gene-OW489_RS01095	508	436	469	722	915	560
gene-OW489_RS01100	10	24	26	30	61	28
gene-OW489_RS01105	2317	1940	2674	3878	7619	3797
gene-OW489_RS01110	8488	9076	9006	4513	5333	4459
gene-OW489_RS01115	3023	4282	4228	2070	2209	1908
gene-OW489_RS01120	469	1219	1086	698	775	727
gene-OW489_RS01125	11465	9727	9640	5179	5860	5454
gene-OW489_RS01130	30449	30866	31162	23352	27933	22576
gene-OW489_RS01140	16596	16525	16517	11084	10511	10583
gene-OW489_RS01145	469	417	495	583	821	579
gene-OW489_RS01150	695	755	765	892	1269	882
gene-OW489_RS01155	3165	1859	1805	2620	2853	2736
gene-OW489_RS01160	65	135	148	97	189	89
gene-OW489_RS01165	2556	2403	2673	4186	6107	3497
gene-OW489_RS01170	2862	2142	2347	3741	4825	3689
gene-OW489_RS01175	5220	4851	5422	8548	11753	7699
gene-OW489_RS01180	1911	1748	1819	2186	2653	2303
gene-OW489_RS01185	11751	8833	9048	2377	3615	2244
gene-OW489_RS01190	9584	8986	9392	2727	3895	2358
gene-OW489_RS01195	204	288	313	134	197	114
gene-OW489_RS01200	1135	787	684	647	727	627
gene-OW489_RS01205	1280	1792	2209	3814	5147	4281
gene-OW489_RS01210	1089	1210	1523	2811	4653	3154
gene-OW489_RS01215	372	426	509	857	2202	847
gene-OW489_RS01220	4104	2933	3400	6926	8617	6155
gene-OW489_RS01225	453	1157	1333	2851	4490	2631
gene-OW489_RS01230	3458	2650	3081	4550	8135	4293
gene-OW489_RS01235	339	286	324	456	606	423
gene-OW489_RS01240	2025	3033	3075	3596	4591	3518
gene-OW489_RS01245	199	514	465	333	360	338
gene-OW489_RS01250	796	980	1317	1857	3299	2024
gene-OW489_RS01255	2105	2351	3239	4588	7263	4841
gene-OW489_RS01260	616	589	910	906	1792	923
gene-OW489_RS01265	1448	1716	2453	1931	3195	1700
gene-OW489_RS01270	779	824	964	512	842	472
gene-OW489_RS01275	673	606	671	317	453	239
gene-OW489_RS01280	162	394	464	152	238	109
gene-OW489_RS01285	53	144	217	161	320	167
gene-OW489_RS01290	1034	1612	1608	791	862	807
gene-OW489_RS01295	1187	1375	1517	440	516	371
gene-OW489_RS01300	3432	5104	6029	1563	2917	1359
gene-OW489_RS01305	20744	17794	19316	10552	13995	10177
gene-OW489_RS01310	29	92	90	24	60	25
gene-OW489_RS01315	86	89	111	36	47	21
gene-OW489_RS01320	1452	1823	2036	1801	2881	1790
gene-OW489_RS01325	2379	2063	2343	3810	5594	3669
gene-OW489_RS01330	563	894	933	682	1035	707
gene-OW489_RS01340	155	202	257	128	170	136
gene-OW489_RS01345	79	303	268	146	222	140
gene-OW489_RS01355	13393	12926	15009	16078	23260	15377
gene-OW489_RS01360	20908	13819	15024	14941	16446	15382
gene-OW489_RS01365	3464	5046	5115	5171	4716	5476
gene-OW489_RS01370	348	489	494	431	652	407
gene-OW489_RS01375	134	300	304	211	246	191
gene-OW489_RS01380	214	456	413	196	257	157
gene-OW489_RS01385	553	810	806	413	568	396
gene-OW489_RS01390	6449	6470	6815	5053	6691	4528
gene-OW489_RS01395	2059	2026	2321	2274	3303	2598
gene-OW489_RS01400	998	1680	1905	1501	1645	1593
gene-OW489_RS01405	1100	2532	2716	2937	3913	2767
gene-OW489_RS01415	1439	1263	1578	952	1237	934
gene-OW489_RS01420	741	743	739	475	616	394
gene-OW489_RS01425	12505	5285	5517	8752	11703	8188
gene-OW489_RS01430	5546	4732	5716	8454	11011	8527
gene-OW489_RS01435	1541	1954	2445	2467	3717	2495
gene-OW489_RS01440	1006	1493	1551	1930	2539	2001
gene-OW489_RS01445	1432	1043	1163	1842	2194	2020
gene-OW489_RS01450	395	625	769	1048	1921	1260
gene-OW489_RS01455	2170	2184	2473	3300	3976	3776
gene-OW489_RS01460	872	1226	1511	1069	1527	1325
gene-OW489_RS01465	70	77	72	21	22	23
gene-OW489_RS01470	229	1010	1235	1005	1461	1012
gene-OW489_RS01475	609	982	1492	836	2243	870
gene-OW489_RS01480	1020	888	1449	736	2338	844
gene-OW489_RS01485	41	121	135	152	161	134
gene-OW489_RS01490	75	138	99	230	232	297
gene-OW489_RS01505	1259	772	721	1316	1550	1278
gene-OW489_RS01510	29	61	37	4	22	9
gene-OW489_RS01515	95	68	82	14	18	19
gene-OW489_RS01520	0	0	3	3	3	6
gene-OW489_RS01525	178	300	358	184	335	173
gene-OW489_RS01530	7544	7881	8980	12674	17736	11815
gene-OW489_RS01535	120	200	211	314	219	306
gene-OW489_RS01540	436	354	372	194	282	137
gene-OW489_RS01545	2428	2733	3035	1795	2369	1578
gene-OW489_RS01550	642	634	710	489	556	449
gene-OW489_RS01555	47	66	93	77	134	119
gene-OW489_RS01560	164	244	246	244	302	319
gene-OW489_RS01565	160	562	656	585	599	543
gene-OW489_RS01570	344	517	569	183	232	165
gene-OW489_RS01575	2221	3279	3400	4710	5793	4312
gene-OW489_RS01580	219	323	395	288	370	231
gene-OW489_RS01585	157	282	368	853	1581	735
gene-OW489_RS01590	283	142	231	548	1293	523
gene-OW489_RS01595	808	1268	1292	1066	1874	923
gene-OW489_RS01600	520	625	681	426	930	447
gene-OW489_RS01605	1766	3720	4856	6024	8439	5816
gene-OW489_RS01615	159	300	302	220	242	247
gene-OW489_RS01620	578	1024	1103	4148	4722	3322
gene-OW489_RS01625	13	27	18	57	61	66
gene-OW489_RS01630	11	49	39	3	9	9
gene-OW489_RS01635	2179	5400	6332	8108	9362	6601
gene-OW489_RS01640	248	429	451	380	419	269
gene-OW489_RS01645	2798	2822	4016	5009	10181	5054
gene-OW489_RS01650	861	807	1103	1388	3448	1351
gene-OW489_RS01655	4486	4796	6772	7986	18053	7022
gene-OW489_RS01660	2312	1950	2383	1998	3471	2392
gene-OW489_RS01665	1693	2239	2388	2828	2381	2889
gene-OW489_RS01670	49	165	158	125	150	90
gene-OW489_RS01675	602	432	395	320	440	347
gene-OW489_RS01680	1425	1504	1548	1419	1774	1295
gene-OW489_RS01685	1330	1526	1509	889	1181	704
gene-OW489_RS01690	847	1024	1166	514	658	418
gene-OW489_RS01695	1110	1395	1655	1299	1686	934
gene-OW489_RS01700	4847	2223	2566	6253	8963	5323
gene-OW489_RS01705	9152	11991	14096	74886	104224	69021
gene-OW489_RS01710	1253	1543	1578	1036	1312	898
gene-OW489_RS01715	571	470	461	460	626	369
gene-OW489_RS01720	1055	1675	1728	986	1142	989
gene-OW489_RS01725	5160	5155	5347	5065	6285	4304
gene-OW489_RS01730	5758	4787	4921	6180	6828	5676
gene-OW489_RS01735	662	672	621	410	700	400
gene-OW489_RS01740	1488	1232	1275	839	1147	702
