run_accession	sample_title	library_layout
ERR11468761	WT_1	PAIRED
ERR11468763	WT_3	PAIRED
ERR11468768	WTS_2	PAIRED
ERR11468772	ΔHP1021S_3	PAIRED
ERR11468765	ΔHP1021_2	PAIRED
ERR11468767	WTS_1	PAIRED
ERR11468770	ΔHP1021S_1	PAIRED
ERR11468771	ΔHP1021S_2	PAIRED
ERR11468762	WT_2	PAIRED
ERR11468764	ΔHP1021_1	PAIRED
ERR11468766	ΔHP1021_3	PAIRED
ERR11468769	WTS_3	PAIRED
