sample	deseq2_size_factor	bamcoverage_scale_factor
WTS_1	0.900789341628877	1.11013746920198
WTS_2	1.1147916430556	0.897028611785283
WTS_3	1.20420931981602	0.830420412418646
WT_1	0.881199346127659	1.13481700184459
WT_2	1.17801500521665	0.848885621636111
WT_3	0.831344523895923	1.20287073680802
