gene_id	WTS_1	WTS_2	WTS_3	WT_1	WT_2	WT_3
gene-OW489_RS00005	1444.28884743178	1648.73858846135	1454.89656255747	1359.51076820982	1343.78593904996	1171.59609765101
gene-OW489_RS00010	1460.94090946981	2526.92959939914	2193.14030919764	3355.65387445444	3057.68600913327	3244.14237717122
gene-OW489_RS00015	17.7621995072317	101.364233131737	64.7727921686544	26.1007910424255	29.7109967572639	28.8688976833924
gene-OW489_RS00020	1141.22131833964	1217.26782619263	1003.14785820172	464.140153754436	377.75410162807	467.916716618319
gene-OW489_RS00025	2699.85432509922	2416.59508014955	2229.67880734406	1062.18871372653	990.649520449342	1131.90136333634
gene-OW489_RS00035	410.750863604733	698.785288580735	582.124709105471	509.53283382822	547.531225955292	488.365519144055
gene-OW489_RS00040	69.9386605597248	106.746404802449	115.428437326192	340.445100553376	314.936565626997	359.658350305597
gene-OW489_RS00045	14.4317870996257	24.2197725182026	27.4038736098153	37.4489610608714	14.4310555678139	33.6803806306245
gene-OW489_RS00050	26.6432992608475	63.6890314367551	44.8427022706069	66.9542031088306	34.8043104870806	27.6660269465844
gene-OW489_RS00055	23.3128868532416	13.4554291767792	26.5734531973967	94.1898111531007	84.8885621636111	86.6066930501773
gene-OW489_RS00060	19.9824744456356	42.1603447539083	55.6381676320493	34.0445100553376	32.2576536221722	30.0717684202004
gene-OW489_RS00065	651.650694421562	1506.11103918749	1427.49268894765	625.284168016367	531.402399144206	639.927231981866
gene-OW489_RS00075	3825.53371887002	3418.57603951371	3267.70432286737	2023.3787142889	1959.22801473615	2085.7778576251
gene-OW489_RS00080	103.242784635784	232.330410452388	276.529997335409	124.829870202905	155.346068759408	133.51865178569
gene-OW489_RS00085	16436.6953690045	15076.3598782752	19910.1598081495	29941.0117766676	32912.1444364537	34784.6159670143
gene-OW489_RS00090	23.3128868532416	77.1444606135343	100.480869902656	145.256576236107	133.275042596869	117.881332207186
gene-OW489_RS00095	709.377842820065	686.226888015741	724.957020041478	1562.64301154	1817.46411592291	1551.70325048234
gene-OW489_RS00100	1031.31770888864	734.666433052147	734.922064990502	1596.68752159533	1324.26156975233	1669.58458268953
gene-OW489_RS00105	1427.63678539375	1319.52908793615	1202.4487571822	2406.94686091237	2207.95150187553	2215.68789720037
gene-OW489_RS00110	4143.03303506179	5051.16811296293	4964.25322543867	5935.09291964719	4806.39038970366	5811.06852951953
gene-OW489_RS00115	446.275262619196	360.605501937684	437.631557344626	568.543317924138	658.735242389622	661.57890524441
gene-OW489_RS00120	247.560655632042	268.211554923799	336.320267029552	348.388819566288	410.860640871878	241.777018098412
gene-OW489_RS00125	457.376637311216	915.866212632774	854.502604378787	709.260626152867	839.547879798114	665.187517454834
gene-OW489_RS00130	659.421656705976	627.022999637913	582.95512951789	306.400590498038	352.287532978986	318.760745254125
gene-OW489_RS00135	504.002411017699	628.817056861483	583.785549930308	3377.21539748949	2723.22507420865	3435.3988243237
gene-OW489_RS00140	15416.4790348079	14239.4321834796	15450.8021934613	21412.8620078055	16563.4562493638	24320.8434275213
gene-OW489_RS00150	857.026126223929	1131.15307946124	1159.26689573643	259.87309342241	449.909379467139	261.02294988734
gene-OW489_RS00155	2755.36119855932	1932.1996297855	1900.00190361386	1037.22273968595	1160.42664477656	1246.17408333311
gene-OW489_RS00160	9560.50388476746	10192.9361157162	9524.09171002945	10060.1527213523	10808.011734671	10989.4270514781
gene-OW489_RS00165	458.486774780418	664.698201332894	561.364198795005	1193.82748594051	1141.75116110057	1038.07744586532
gene-OW489_RS00170	230.908593594012	400.971789468021	352.098254865506	292.782786475903	271.643398923556	242.97988883522
gene-OW489_RS00175	492.901036325679	386.619331679457	366.215401876623	400.590401651139	434.629438277689	394.54160167303
gene-OW489_RS00180	186.503094825933	286.152127159505	287.325462696852	389.242231632693	297.109967572639	404.164567567494
gene-OW489_RS00185	507.332823425305	374.060931114463	494.930565801513	688.833920119664	1084.02693882931	777.05449597798
gene-OW489_RS00190	6044.69851980478	3437.4136403612	3637.24140639367	2707.67336640118	2760.57604156063	2529.63715950726
gene-OW489_RS00195	2039.32253092404	1698.07516210954	1600.22013473073	2033.5920673055	2409.98627982492	1941.43336920814
gene-OW489_RS00200	1116.79829401719	761.577291405705	710.009452617942	1036.08792268411	876.049961528467	1151.14729512527
gene-OW489_RS00205	1120.1287064248	834.236608960313	728.278701691153	729.687332186069	855.6767066092	688.042061454186
gene-OW489_RS00210	749.342791711337	792.076264206405	664.336329934917	472.083872767348	539.891255360567	455.888009250239
gene-OW489_RS00215	124.335396550622	163.259207344921	133.697686399402	83.9764581364994	52.6309085414389	73.3751149452891
gene-OW489_RS00220	264.212717670071	678.153630509674	604.546060240774	591.23965796103	442.269408872414	529.263124195528
gene-OW489_RS00225	1247.79451538303	1097.0659922134	1083.69863820633	1179.07486491653	983.858435476253	1149.94442438847
gene-OW489_RS00230	137.657046181046	103.158290355308	70.5857350555849	121.425419197371	131.577271353597	125.098556628034
gene-OW489_RS00235	2777.56394794335	1843.39379721876	1712.32689040725	2118.70334244384	2082.31642987338	2019.61996710066
gene-OW489_RS00240	2881.91687004834	2481.18114019809	2213.07039909569	2480.70996603227	2230.8714136597	2396.11850772157
gene-OW489_RS00245	2299.0946987173	2074.82717905936	1824.43364608377	1798.68494792367	1823.40631527437	1593.80372627062
gene-OW489_RS00250	1512.0072330531	1454.98040831573	1257.25650440183	1057.64944571915	921.889785096817	1115.06117302103
gene-OW489_RS00255	348.583165329422	383.031217232316	279.021258572665	308.670224501728	273.341170166828	306.732037886045
gene-OW489_RS00260	1191.17750445372	810.01683644211	648.558342098962	944.167745534696	794.5569418514	922.60185513175
gene-OW489_RS00265	289.745879461717	381.237160008745	342.963630328901	417.612656678808	530.55351352257	424.61337009323
gene-OW489_RS00270	149.868558342267	129.172120097081	130.376004749727	120.290602195526	78.0974771905223	114.272719996762
gene-OW489_RS00275	177.621995072317	137.245377603148	130.376004749727	70.3586541143644	65.3641928659806	68.563631998057
gene-OW489_RS00285	320.829728599372	406.353961138733	363.724140639367	459.600885747058	472.829291251314	506.408580196176
gene-OW489_RS00290	1317.73317594275	1379.63000492576	1211.5833817188	1806.62866693658	1712.20229884004	1716.49654142504
gene-OW489_RS00295	11213.4985764092	9091.38498044384	9750.79648261974	21172.2808034145	17051.5654818046	25042.5658696061
gene-OW489_RS00300	3096.17340160432	3015.81019282212	3117.3982282196	3654.11074593957	4641.70657910626	4048.86290009579
gene-OW489_RS00305	97.6920972897743	109.437490637804	119.580539388285	99.8638961623236	95.9240752448806	134.721522522498
gene-OW489_RS00310	1052.41032080348	1355.41023240756	1342.78980688095	868.135006411109	744.47269017487	992.368357866615
gene-OW489_RS00315	741.571829426923	487.983564811194	440.122818581882	559.464781909381	710.517265309425	603.841109877625
gene-OW489_RS00320	188.723369764337	252.96206852345	257.43032784978	359.736989584734	352.287532978986	505.205709459368
gene-OW489_RS00325	1568.6242439824	1212.7826831337	1267.22154935085	1940.53707315424	2293.68894966077	1978.72236204919
gene-OW489_RS00330	1646.33386682654	1322.22017377151	1304.59046790969	1592.14825358796	1544.12294575609	1539.67454311426
gene-OW489_RS00335	412.971138543137	262.829383253088	215.078886816429	4113.71163168663	3848.84740849813	3805.88301126057
gene-OW489_RS00340	2568.85810373338	2081.10637934186	2231.3396481689	9636.86597966423	10605.9769567216	9755.28167551303
gene-OW489_RS00345	765.994853749366	532.834995400458	453.409545180581	1614.84459362485	1279.27063180562	1831.97213215861
gene-OW489_RS00350	401.869763851117	460.17567784585	440.953238994301	1427.59978832049	1139.20450423566	1439.8362719592
gene-OW489_RS00355	6177.91501610902	4524.61231784497	4328.9816099384	3976.39877446343	3344.60934924628	4459.04182134732
gene-OW489_RS00360	4749.16809324607	5537.35762055055	5066.39493616616	10691.1109743779	6149.32744313199	11737.6126497726
gene-OW489_RS00365	1770.66926337716	2404.93370819634	2308.56874652384	4283.93418196332	3155.30785562143	4451.82459692647
gene-OW489_RS00370	8032.95472714553	6901.73813907596	6949.78843153165	11174.5430171636	11779.1368858227	10918.4576780064
gene-OW489_RS00375	485.130074041265	749.915919452496	636.932456325101	281.434616457458	218.163604760481	206.893766730979
gene-OW489_RS00380	1912.76685943501	2270.37941642855	1935.70998134786	501.589114815307	534.79794163075	529.263124195528
gene-OW489_RS00385	1217.82080371457	1830.83539665376	1818.62070319683	836.360130359461	900.667644555914	668.796129665258
gene-OW489_RS00390	4017.58750104197	4181.94738814299	3834.88146454931	1942.80670715793	2116.27185473883	1747.77118058205
gene-OW489_RS00395	1190.06736698452	1347.33697490149	1260.5781860515	324.557662527552	353.136418600622	321.166486727741
gene-OW489_RS00400	7631.08496329441	6747.4492178489	6728.06618141587	2952.79383879962	3391.29805843627	3123.85530349042
gene-OW489_RS00405	326.380415945382	514.894423164752	460.05290847993	500.454297813463	439.722752007506	471.525328828743
gene-OW489_RS00410	3573.53251336117	3524.42541570438	3442.09260947529	4411.03368616991	4173.97060158476	4300.26288408866
gene-OW489_RS00415	5681.68356737574	5142.66503136503	4945.15355595304	6867.91249516344	6230.82046280906	6790.20530928126
gene-OW489_RS00420	1053.52045827268	2169.01518329681	2026.2258063015	1650.02392068203	1462.62992607902	1427.80756459112
gene-OW489_RS00425	1362.13867471083	939.188956539191	891.871522937626	1081.48060275789	1155.33333104675	1199.26212459759
gene-OW489_RS00430	612.795882999493	732.872375828576	698.383566844081	1516.11551446437	1573.83394251335	1575.7606652185
gene-OW489_RS00435	4103.06808617052	2337.65656231245	2425.65802467486	5017.02596515492	3729.15453584744	4954.62456491223
gene-OW489_RS00440	455.156362372812	701.476374416091	733.261224165664	448.252715728612	514.424686711484	473.931070302359
gene-OW489_RS00470	1594.15740577404	1046.83238995342	1097.81578521745	1306.17436912312	1042.43154336914	1398.93866690772
gene-OW489_RS00475	736.021142080913	846.795009525307	858.65470644088	820.472692333636	871.805533420286	917.790372184518
gene-OW489_RS00485	137.657046181046	1636.18018789636	1610.18517967975	1901.95329509153	1145.14670358711	1811.52332963287
gene-OW489_RS00490	4178.55743407625	4412.48374137181	4103.93767817295	1996.14310624463	1969.41464219578	2024.43145004789
gene-OW489_RS00495	15537.4840189509	11156.3448447736	10753.113920409	6389.01972038502	6025.39014237312	6011.94794256647
gene-OW489_RS00500	3862.16825535369	2642.64629031944	2424.82760426245	819.337875331792	849.734507257748	921.398984394942
gene-OW489_RS00505	3641.2508989825	3510.07295791581	3250.26549420658	922.606222499649	934.623069421359	763.822917873091
gene-OW489_RS00510	5806.01896392636	49359.896392097	45646.5492298281	145076.140332814	77741.7941150567	125886.436960643
gene-OW489_RS00515	139.87732111945	181.199779580627	116.25885773861	214.480413348627	153.648297516136	153.967454311426
gene-OW489_RS00520	65.4981106829168	100.467204519952	61.4511105189798	88.5157261438778	99.319617731425	69.766502734865
gene-OW489_RS00525	10153.3172933213	7347.56135913325	6956.431794831	14687.9364548745	14094.0479760244	14715.9205941093
gene-OW489_RS00530	2033.77184357803	1394.87949132611	1336.97686399402	1975.71640021143	1919.33039051925	1741.75682689801
gene-OW489_RS00535	551.738322193384	479.013278693341	509.878133225049	613.935997997922	794.5569418514	570.160729247001
gene-OW489_RS00540	133.216496304238	140.833492050289	172.727445783078	275.760531448235	291.167768221186	241.777018098412
gene-OW489_RS00545	39.9649488912713	24.2197725182026	35.7080777340018	37.4489610608714	48.3864804332583	66.157890524441
gene-OW489_RS00550	1.11013746920198	15.2494864003498	12.4563061862797	10.2133530166013	10.1866274596333	8.42009515765613
gene-OW489_RS00555	5.5506873460099	8.97028611785283	8.30420412418646	1.13481700184459	5.09331372981667	6.01435368404009
gene-OW489_RS00560	268.653267546879	332.79761497234	283.173360634758	203.132243330181	213.070291030664	199.676542310131
gene-OW489_RS00565	67.7183856213208	65.4830886603256	58.9598492817239	53.3363990866956	54.3286797847111	43.3033465250886
gene-OW489_RS00570	530.645710278547	818.090093948178	812.981583757854	1177.94004791468	1156.18221666838	1082.58366312722
gene-OW489_RS00575	207.59570674077	246.682868240953	220.061409290941	805.720071309657	642.606415578536	787.880332609252
gene-OW489_RS00605	580.601896392636	542.702310130096	553.890415083237	1437.81314133709	2029.68552133194	1475.92239406344
gene-OW489_RS00610	174.291582664711	155.185949838854	195.148796918382	569.678134925983	606.95321946982	629.101395350593
gene-OW489_RS00615	640.549319729543	1215.47376896906	1186.67076934625	1739.67446382775	1797.09086100365	1554.10899195596
gene-OW489_RS00620	222.027493840396	506.821165658685	448.427022706069	1211.98455797002	1163.82218726311	1036.87457512851
gene-OW489_RS00630	13907.8022141624	9833.22764239027	9495.0269955948	17475.0470114048	17163.6183838605	16505.7922504796
gene-OW489_RS00635	18599.24315901	12208.5594063977	11909.0591344958	29937.607325662	22260.3276561638	30142.7377936721
gene-OW489_RS00640	11428.8652454344	6838.946136251	7050.2693014343	15341.591047937	17796.0381719794	15064.7531077836
