gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-OW489_RS00005	1403.80280056023	0.230762498076474	0.143153618098246	1.61199207635886	0.106963663978755	0.148780734258515
gene-OW489_RS00010	2639.74884647092	-0.643342999158257	0.23048550167154	-2.79125148650379	0.00525046596584651	0.010012172053349
gene-OW489_RS00015	44.7633183817841	1.12311231929182	0.577554033641305	1.94460129074146	0.0518229838470433	0.0787243529901152
gene-OW489_RS00020	778.574662455802	1.36178738029162	0.171069201414467	7.96044740392681	1.71418310439969e-15	1.65541111224885e-14
gene-OW489_RS00025	1755.14463501751	1.20613228388561	0.146042416683513	8.25878064247188	1.47168099948641e-16	1.57913707246479e-15
gene-OW489_RS00035	539.515073369751	0.131226911664377	0.232998837260931	0.563208440037917	0.573292956367628	0.640043003310514
gene-OW489_RS00040	217.858919862389	-1.78804732507558	0.237220493334345	-7.53749096438922	4.79099819226693e-14	4.02324817139434e-13
gene-OW489_RS00045	25.2693050811589	-0.348821267294414	0.511205771655062	-0.682350017616355	0.495017652740552	0.564303428756515
gene-OW489_RS00050	44.0999289184508	0.0703970091926107	0.48038340834927	0.146543381742751	0.883492445861819	0.922876632180213
gene-OW489_RS00055	54.8378059323844	-2.06815435558118	0.337316301968622	-6.13120191200709	8.72176281917961e-10	4.55282754113159e-09
gene-OW489_RS00060	35.6924864882172	0.300516987957643	0.441163203746587	0.681192323850894	0.495749804507791	0.564661950879977
gene-OW489_RS00065	896.978036949857	0.99777714109178	0.323266591811581	3.08654579955278	0.00202496749011195	0.0042249321707274
gene-OW489_RS00075	2763.36644465021	0.79256737672018	0.128383578578542	6.17343265778578	6.6823019628596e-10	3.52909072413523e-09
gene-OW489_RS00080	170.966297195264	0.566982305081229	0.369119468731572	1.53604009842555	0.124528546138081	0.170063226645136
gene-OW489_RS00085	24843.4978725941	-0.924990346508311	0.165018220864175	-5.60538310051022	2.07794831279191e-08	9.21110202916283e-08
gene-OW489_RS00090	99.5585280682657	-0.972852048961818	0.466568339881203	-2.08512229786	0.0370582007211043	0.0583267606227393
gene-OW489_RS00095	1175.39535480376	-1.21836481787562	0.138444686891859	-8.80037251864566	1.36362740604001e-18	1.73926816317556e-17
gene-OW489_RS00100	1181.90664682808	-0.876829885738725	0.20755233704714	-4.22462063406963	2.39343617943821e-05	7.14332387329019e-05
gene-OW489_RS00105	1796.70014841673	-0.790834483502278	0.135540502720826	-5.83467279246533	5.38962286674724e-09	2.61174556123379e-08
gene-OW489_RS00110	5118.50103538896	-0.225052123273696	0.16387128175321	-1.37334693953651	0.169644516638528	0.223547160326793
gene-OW489_RS00115	522.228297909946	-0.60298326612016	0.169260871708771	-3.56244925382192	0.00036741094452512	0.000885453827090841
gene-OW489_RS00120	308.853159353662	-0.233552379444866	0.259255035818686	-0.900859567519471	0.367662991166643	0.441065096767792
gene-OW489_RS00125	740.290246288099	0.00942261289555499	0.288398398168653	0.0326722095385728	0.973935985630801	0.982191937120166
gene-OW489_RS00130	474.474775765488	0.932521374594095	0.151297740658957	6.16348512894261	7.1161064464196e-10	3.74357039515926e-09
gene-OW489_RS00135	1875.40738563855	-2.47247930577724	0.174114737835598	-14.2002873307129	9.1237553058318e-46	7.25606892557917e-44
gene-OW489_RS00140	17900.6458494066	-0.465763458469956	0.18520447960863	-2.51486065269154	0.011907943920362	0.021017676475626
gene-OW489_RS00150	686.375254033082	1.69402417295641	0.276854216477597	6.1188310386217	9.4264287187972e-10	4.90174293377454e-09
gene-OW489_RS00155	1671.89769995905	0.935317666779323	0.207013797378768	4.51814168245025	6.23847361379148e-06	2.00342430542662e-05
gene-OW489_RS00160	10189.1872030024	-0.121841958525977	0.11129184677309	-1.09479680730249	0.273605665482576	0.342565166281785
gene-OW489_RS00165	843.034211302452	-1.00085619140859	0.190288344199817	-5.25968206627319	1.44304687019486e-07	5.77218748077942e-07
gene-OW489_RS00170	298.564118693703	0.287152233394312	0.252679950256614	1.1364266658383	0.255778040952405	0.323188702212758
gene-OW489_RS00175	412.582868580603	0.0154210031802222	0.18466765214516	0.0835067918018491	0.933448577179929	0.959419274566268
gene-OW489_RS00180	308.416241909186	-0.516456668250009	0.248956744338985	-2.07448353978629	0.0380344258978092	0.0595857981620372
gene-OW489_RS00185	654.373279211373	-0.891198046983282	0.241937073104356	-3.68359439728725	0.000229968065623822	0.00058443012166054
gene-OW489_RS00190	3519.54002233812	0.713728432136051	0.251499349927057	2.83789374542342	0.00454122972258907	0.00878360884826955
gene-OW489_RS00195	1953.77159068381	-0.259423406136621	0.173292124169489	-1.49702940846227	0.134385606074097	0.182201131529607
gene-OW489_RS00200	941.945036229781	-0.24348364287654	0.235114846701064	-1.03559450325192	0.300391357439725	0.370217971976762
