gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-OW489_RS04005	78402.6933556894	-5.99262706122003	0.168288771451843	-35.6091913294099	1.00968153155051e-277	1.36508943065629e-274
gene-OW489_RS01705	48183.5594150449	-2.97485738635928	0.119381315553994	-24.9189529580431	4.63680455779492e-137	3.13447988106936e-134
gene-OW489_RS04905	6725.70728197745	4.16545949353627	0.172588453100125	24.1352154139752	1.06759409771752e-128	4.81129073371361e-126
gene-OW489_RS07685	22803.7082507721	-3.11303188086495	0.136215519414553	-22.8537239680515	1.34195177546387e-115	4.5357970010679e-113
gene-OW489_RS06370	2128.42166119325	-3.01354740024551	0.152325048686791	-19.7836628067779	4.11673086244995e-87	1.11316402520647e-84
gene-OW489_RS06065	874.329729217373	3.43633306175852	0.178747699737991	19.224488297167	2.30905540768029e-82	5.20307151863959e-80
gene-OW489_RS00885	2912.24318886956	3.48209980083632	0.184264447274286	18.8972959914132	1.20049421898564e-79	2.3186688343837e-77
gene-OW489_RS03540	1744.7860645404	-3.77729042921733	0.211263902451531	-17.8794880970446	1.70394258269946e-71	2.87966296476209e-69
gene-OW489_RS05230	1272.64663389202	4.05459095585739	0.236215326000922	17.1648090092239	4.87082619246889e-66	7.31706334690882e-64
gene-OW489_RS06100	1151.30502245181	3.03250820722409	0.180362234763382	16.8134322088128	1.94572256824991e-63	2.63061691227387e-61
gene-OW489_RS03535	6805.79994178634	-3.54331684681228	0.218337627674897	-16.2286129264364	3.16531594867266e-59	3.89046105691403e-57
gene-OW489_RS00915	5414.47206967151	1.85567014120556	0.118034550558247	15.7214148944451	1.07887199482977e-55	1.21552911417488e-53
gene-OW489_RS03530	4064.63777427766	-3.3404598512541	0.224348298483331	-14.8896152715965	3.8497838372807e-50	4.00377519077193e-48
gene-OW489_RS00340	6146.5714571905	-2.12456604902557	0.142891844594785	-14.8683506399575	5.29006025366309e-50	5.10868675925178e-48
gene-OW489_RS00335	2109.88691000966	-3.72686469504846	0.258038908347688	-14.44303387777	2.77359499137776e-47	2.49993361889515e-45
gene-OW489_RS00135	1875.40738563855	-2.47247930577724	0.174114737835598	-14.2002873307129	9.1237553058318e-46	7.25606892557917e-44
gene-OW489_RS02530	1261.46279362984	2.39645351639181	0.168745882277962	14.2015525596311	8.96049829155015e-46	7.25606892557917e-44
gene-OW489_RS03120	9162.85953843128	-2.75173518145978	0.198517850890613	-13.861399209767	1.08537672455534e-43	8.15238517554898e-42
gene-OW489_RS00395	799.473849298906	1.92536868586407	0.14080421859042	13.6740838104056	1.45022355013538e-42	1.03194854725423e-40
gene-OW489_RS00380	1280.7510729755	1.96629751904607	0.144374595336657	13.6194149286514	3.07017431503411e-42	2.07543783696306e-40
