Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[replicate]	Characteristics[environmental stress]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Protocol REF	Performer	Derived Array Data File	Factor Value[genotype]	Factor Value[environmental stress]
WTS_3	ERS15547228	SAMEA113550809	Helicobacter pylori	N6	wild type genotype	whole organism	3	oxidative stress (21% O2)	whole organism	P-MTAB-133319	Mateusz Noszka	P-MTAB-133320	Mateusz Noszka	P-MTAB-133321	Novogene Bioinformatics Technology Co. Ltd.	WTS_3	RNA	PAIRED	RANDOM PCR	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-133322	Novogene Bioinformatics Technology Co. Ltd.	WTS_3	sequencing assay	ERX10885465		F_6_1.fq.gz	F_6_1.fq.gz	ERR11479315	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/015/ERR11479315/ERR11479315_1.fastq.gz	P-MTAB-133323	Agnieszka Strzałka	P-MTAB-133324	Agnieszka Strzałka	count_matrix_hpylori.txt	wild type genotype	oxidative stress (21% O2)
WTS_3	ERS15547228	SAMEA113550809	Helicobacter pylori	N6	wild type genotype	whole organism	3	oxidative stress (21% O2)	whole organism	P-MTAB-133319	Mateusz Noszka	P-MTAB-133320	Mateusz Noszka	P-MTAB-133321	Novogene Bioinformatics Technology Co. Ltd.	WTS_3	RNA	PAIRED	RANDOM PCR	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-133322	Novogene Bioinformatics Technology Co. Ltd.	WTS_3	sequencing assay	ERX10885465		F_6_2.fq.gz	F_6_2.fq.gz	ERR11479315	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/015/ERR11479315/ERR11479315_2.fastq.gz	P-MTAB-133323	Agnieszka Strzałka	P-MTAB-133324	Agnieszka Strzałka	count_matrix_hpylori.txt	wild type genotype	oxidative stress (21% O2)
ΔHP1021_1	ERS15547229	SAMEA113550810	Helicobacter pylori	N6	ΔHP1021::aphA-3	whole organism	1	no stress (5% O2)	whole organism	P-MTAB-133319	Mateusz Noszka	P-MTAB-133320	Mateusz Noszka	P-MTAB-133321	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_1	RNA	PAIRED	RANDOM PCR	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-133322	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_1	sequencing assay	ERX10885466		R4_2.fq.gz	R4_2.fq.gz	ERR11479316	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/016/ERR11479316/ERR11479316_1.fastq.gz	P-MTAB-133323	Agnieszka Strzałka	P-MTAB-133324	Agnieszka Strzałka	count_matrix_hpylori.txt	ΔHP1021::aphA-3	no stress (5% O2)
ΔHP1021_1	ERS15547229	SAMEA113550810	Helicobacter pylori	N6	ΔHP1021::aphA-3	whole organism	1	no stress (5% O2)	whole organism	P-MTAB-133319	Mateusz Noszka	P-MTAB-133320	Mateusz Noszka	P-MTAB-133321	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_1	RNA	PAIRED	RANDOM PCR	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-133322	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_1	sequencing assay	ERX10885466		R4_1.fq.gz	R4_1.fq.gz	ERR11479316	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/016/ERR11479316/ERR11479316_2.fastq.gz	P-MTAB-133323	Agnieszka Strzałka	P-MTAB-133324	Agnieszka Strzałka	count_matrix_hpylori.txt	ΔHP1021::aphA-3	no stress (5% O2)
ΔHP1021_2	ERS15547230	SAMEA113550811	Helicobacter pylori	N6	ΔHP1021::aphA-3	whole organism	2	no stress (5% O2)	whole organism	P-MTAB-133319	Mateusz Noszka	P-MTAB-133320	Mateusz Noszka	P-MTAB-133321	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_2	RNA	PAIRED	RANDOM PCR	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-133322	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_2	sequencing assay	ERX10885467		R5_1.fq.gz	R5_1.fq.gz	ERR11479317	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/017/ERR11479317/ERR11479317_1.fastq.gz	P-MTAB-133323	Agnieszka Strzałka	P-MTAB-133324	Agnieszka Strzałka	count_matrix_hpylori.txt	ΔHP1021::aphA-3	no stress (5% O2)
ΔHP1021_2	ERS15547230	SAMEA113550811	Helicobacter pylori	N6	ΔHP1021::aphA-3	whole organism	2	no stress (5% O2)	whole organism	P-MTAB-133319	Mateusz Noszka	P-MTAB-133320	Mateusz Noszka	P-MTAB-133321	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_2	RNA	PAIRED	RANDOM PCR	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-133322	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_2	sequencing assay	ERX10885467		R5_2.fq.gz	R5_2.fq.gz	ERR11479317	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/017/ERR11479317/ERR11479317_2.fastq.gz	P-MTAB-133323	Agnieszka Strzałka	P-MTAB-133324	Agnieszka Strzałka	count_matrix_hpylori.txt	ΔHP1021::aphA-3	no stress (5% O2)
ΔHP1021_3	ERS15547231	SAMEA113550812	Helicobacter pylori	N6	ΔHP1021::aphA-3	whole organism	3	no stress (5% O2)	whole organism	P-MTAB-133319	Mateusz Noszka	P-MTAB-133320	Mateusz Noszka	P-MTAB-133321	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_3	RNA	PAIRED	RANDOM PCR	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-133322	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_3	sequencing assay	ERX10885468		R6_2.fq.gz	R6_2.fq.gz	ERR11479318	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/018/ERR11479318/ERR11479318_1.fastq.gz	P-MTAB-133323	Agnieszka Strzałka	P-MTAB-133324	Agnieszka Strzałka	count_matrix_hpylori.txt	ΔHP1021::aphA-3	no stress (5% O2)
ΔHP1021_3	ERS15547231	SAMEA113550812	Helicobacter pylori	N6	ΔHP1021::aphA-3	whole organism	3	no stress (5% O2)	whole organism	P-MTAB-133319	Mateusz Noszka	P-MTAB-133320	Mateusz Noszka	P-MTAB-133321	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_3	RNA	PAIRED	RANDOM PCR	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-133322	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_3	sequencing assay	ERX10885468		R6_1.fq.gz	R6_1.fq.gz	ERR11479318	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/018/ERR11479318/ERR11479318_2.fastq.gz	P-MTAB-133323	Agnieszka Strzałka	P-MTAB-133324	Agnieszka Strzałka	count_matrix_hpylori.txt	ΔHP1021::aphA-3	no stress (5% O2)
ΔHP1021S_1	ERS15547232	SAMEA113550813	Helicobacter pylori	N6	ΔHP1021::aphA-3	whole organism	1	oxidative stress (21% O2)	whole organism	P-MTAB-133319	Mateusz Noszka	P-MTAB-133320	Mateusz Noszka	P-MTAB-133321	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_1	RNA	PAIRED	RANDOM PCR	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-133322	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_1	sequencing assay	ERX10885469		R4S_2.fq.gz	R4S_2.fq.gz	ERR11479319	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/019/ERR11479319/ERR11479319_1.fastq.gz	P-MTAB-133323	Agnieszka Strzałka	P-MTAB-133324	Agnieszka Strzałka	count_matrix_hpylori.txt	ΔHP1021::aphA-3	oxidative stress (21% O2)
ΔHP1021S_1	ERS15547232	SAMEA113550813	Helicobacter pylori	N6	ΔHP1021::aphA-3	whole organism	1	oxidative stress (21% O2)	whole organism	P-MTAB-133319	Mateusz Noszka	P-MTAB-133320	Mateusz Noszka	P-MTAB-133321	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_1	RNA	PAIRED	RANDOM PCR	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-133322	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_1	sequencing assay	ERX10885469		R4S_1.fq.gz	R4S_1.fq.gz	ERR11479319	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/019/ERR11479319/ERR11479319_2.fastq.gz	P-MTAB-133323	Agnieszka Strzałka	P-MTAB-133324	Agnieszka Strzałka	count_matrix_hpylori.txt	ΔHP1021::aphA-3	oxidative stress (21% O2)
ΔHP1021S_2	ERS15547233	SAMEA113550814	Helicobacter pylori	N6	ΔHP1021::aphA-3	whole organism	2	oxidative stress (21% O2)	whole organism	P-MTAB-133319	Mateusz Noszka	P-MTAB-133320	Mateusz Noszka	P-MTAB-133321	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_2	RNA	PAIRED	RANDOM PCR	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-133322	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_2	sequencing assay	ERX10885470		R5S_2.fq.gz	R5S_2.fq.gz	ERR11479320	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/020/ERR11479320/ERR11479320_1.fastq.gz	P-MTAB-133323	Agnieszka Strzałka	P-MTAB-133324	Agnieszka Strzałka	count_matrix_hpylori.txt	ΔHP1021::aphA-3	oxidative stress (21% O2)
ΔHP1021S_2	ERS15547233	SAMEA113550814	Helicobacter pylori	N6	ΔHP1021::aphA-3	whole organism	2	oxidative stress (21% O2)	whole organism	P-MTAB-133319	Mateusz Noszka	P-MTAB-133320	Mateusz Noszka	P-MTAB-133321	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_2	RNA	PAIRED	RANDOM PCR	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-133322	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_2	sequencing assay	ERX10885470		R5S_1.fq.gz	R5S_1.fq.gz	ERR11479320	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/020/ERR11479320/ERR11479320_2.fastq.gz	P-MTAB-133323	Agnieszka Strzałka	P-MTAB-133324	Agnieszka Strzałka	count_matrix_hpylori.txt	ΔHP1021::aphA-3	oxidative stress (21% O2)
ΔHP1021S_3	ERS15547234	SAMEA113550815	Helicobacter pylori	N6	ΔHP1021::aphA-3	whole organism	3	oxidative stress (21% O2)	whole organism	P-MTAB-133319	Mateusz Noszka	P-MTAB-133320	Mateusz Noszka	P-MTAB-133321	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_3	RNA	PAIRED	RANDOM PCR	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-133322	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_3	sequencing assay	ERX10885471		R6S_1.fq.gz	R6S_1.fq.gz	ERR11479321	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/021/ERR11479321/ERR11479321_1.fastq.gz	P-MTAB-133323	Agnieszka Strzałka	P-MTAB-133324	Agnieszka Strzałka	count_matrix_hpylori.txt	ΔHP1021::aphA-3	oxidative stress (21% O2)
ΔHP1021S_3	ERS15547234	SAMEA113550815	Helicobacter pylori	N6	ΔHP1021::aphA-3	whole organism	3	oxidative stress (21% O2)	whole organism	P-MTAB-133319	Mateusz Noszka	P-MTAB-133320	Mateusz Noszka	P-MTAB-133321	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_3	RNA	PAIRED	RANDOM PCR	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-133322	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_3	sequencing assay	ERX10885471		R6S_2.fq.gz	R6S_2.fq.gz	ERR11479321	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/021/ERR11479321/ERR11479321_2.fastq.gz	P-MTAB-133323	Agnieszka Strzałka	P-MTAB-133324	Agnieszka Strzałka	count_matrix_hpylori.txt	ΔHP1021::aphA-3	oxidative stress (21% O2)
