Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[genotype]	Comment[replicate]	Characteristics[stimulus]	Characteristics[organism part]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Protocol REF	Performer	Derived Array Data File	Factor Value[immunoprecipitate]	Factor Value[genotype]	Factor Value[stimulus]
ΔHP1021_3	ERS15538059	SAMEA113541640	Helicobacter pylori	N6	ΔHP1021::aphA-3	3	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_3	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_3	sequencing assay	ERX10874881	P-MTAB-133088	R12_D_2.fq.gz	R12_D_2.fq.gz	ERR11468766	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/066/ERR11468766/ERR11468766_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	ΔHP1021::aphA-3	none
ΔHP1021_3	ERS15538059	SAMEA113541640	Helicobacter pylori	N6	ΔHP1021::aphA-3	3	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_3	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_3	sequencing assay	ERX10874881	P-MTAB-133088	R12_D_1.fq.gz	R12_D_1.fq.gz	ERR11468766	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/066/ERR11468766/ERR11468766_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	ΔHP1021::aphA-3	none
WTS_1	ERS15538060	SAMEA113541641	Helicobacter pylori	N6	wild type genotype	1	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WTS_1	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WTS_1	sequencing assay	ERX10874882	P-MTAB-133088	D_4_2.fq.gz	D_4_2.fq.gz	ERR11468767	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/067/ERR11468767/ERR11468767_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	21 percent oxygen
WTS_1	ERS15538060	SAMEA113541641	Helicobacter pylori	N6	wild type genotype	1	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WTS_1	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WTS_1	sequencing assay	ERX10874882	P-MTAB-133088	D_4_1.fq.gz	D_4_1.fq.gz	ERR11468767	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/067/ERR11468767/ERR11468767_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	21 percent oxygen
WTS_2	ERS15538061	SAMEA113541642	Helicobacter pylori	N6	wild type genotype	2	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WTS_2	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WTS_2	sequencing assay	ERX10874883	P-MTAB-133088	D_5_2.fq.gz	D_5_2.fq.gz	ERR11468768	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/068/ERR11468768/ERR11468768_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	21 percent oxygen
WTS_2	ERS15538061	SAMEA113541642	Helicobacter pylori	N6	wild type genotype	2	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WTS_2	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WTS_2	sequencing assay	ERX10874883	P-MTAB-133088	D_5_1.fq.gz	D_5_1.fq.gz	ERR11468768	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/068/ERR11468768/ERR11468768_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	21 percent oxygen
WTS_3	ERS15538062	SAMEA113541643	Helicobacter pylori	N6	wild type genotype	3	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WTS_3	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WTS_3	sequencing assay	ERX10874884	P-MTAB-133088	D_6_1.fq.gz	D_6_1.fq.gz	ERR11468769	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/069/ERR11468769/ERR11468769_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	21 percent oxygen
WTS_3	ERS15538062	SAMEA113541643	Helicobacter pylori	N6	wild type genotype	3	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WTS_3	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WTS_3	sequencing assay	ERX10874884	P-MTAB-133088	D_6_2.fq.gz	D_6_2.fq.gz	ERR11468769	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/069/ERR11468769/ERR11468769_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	21 percent oxygen
ΔHP1021S_1	ERS15538063	SAMEA113541644	Helicobacter pylori	N6	ΔHP1021::aphA-3	1	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_1	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_1	sequencing assay	ERX10874885	P-MTAB-133088	R10S_D_2.fq.gz	R10S_D_2.fq.gz	ERR11468770	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/070/ERR11468770/ERR11468770_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	ΔHP1021::aphA-3	21 percent oxygen
ΔHP1021S_1	ERS15538063	SAMEA113541644	Helicobacter pylori	N6	ΔHP1021::aphA-3	1	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_1	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_1	sequencing assay	ERX10874885	P-MTAB-133088	R10S_D_1.fq.gz	R10S_D_1.fq.gz	ERR11468770	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/070/ERR11468770/ERR11468770_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	ΔHP1021::aphA-3	21 percent oxygen
ΔHP1021S_2	ERS15538064	SAMEA113541645	Helicobacter pylori	N6	ΔHP1021::aphA-3	2	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_2	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_2	sequencing assay	ERX10874886	P-MTAB-133088	R11S_D_2.fq.gz	R11S_D_2.fq.gz	ERR11468771	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/071/ERR11468771/ERR11468771_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	ΔHP1021::aphA-3	21 percent oxygen
ΔHP1021S_2	ERS15538064	SAMEA113541645	Helicobacter pylori	N6	ΔHP1021::aphA-3	2	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_2	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_2	sequencing assay	ERX10874886	P-MTAB-133088	R11S_D_1.fq.gz	R11S_D_1.fq.gz	ERR11468771	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/071/ERR11468771/ERR11468771_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	ΔHP1021::aphA-3	21 percent oxygen
ΔHP1021S_3	ERS15538065	SAMEA113541646	Helicobacter pylori	N6	ΔHP1021::aphA-3	3	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_3	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_3	sequencing assay	ERX10874887	P-MTAB-133088	R12S_D_1.fq.gz	R12S_D_1.fq.gz	ERR11468772	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/072/ERR11468772/ERR11468772_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	ΔHP1021::aphA-3	21 percent oxygen
ΔHP1021S_3	ERS15538065	SAMEA113541646	Helicobacter pylori	N6	ΔHP1021::aphA-3	3	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_3	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021S_3	sequencing assay	ERX10874887	P-MTAB-133088	R12S_D_2.fq.gz	R12S_D_2.fq.gz	ERR11468772	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/072/ERR11468772/ERR11468772_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	ΔHP1021::aphA-3	21 percent oxygen
